Nom de domaine,Pays BE,Departement BE,Ville BE,Nom BE,Sous domaine,Type du titulaire,Pays titulaire,Departement titulaire,Domaine IDN,Date de crtion,Date de retrait du WHOIS,
commission-rdvp.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,07-09-2012,,
communication-tourisme.gouv.fr,DE,99,REGENSBURG,InterNetX GmbH,gouv.fr,ORG,FR,75,0,20-02-2007,,
communication.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,20-10-2011,,
competitivite.gouv.fr,,,,,,,,,,,,
comptes-publics.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,06-07-2007,,
comu.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,26-10-2017,,
concours-cartographie.gouv.fr,FR,92,BOULOGNE-BILLANCOURT,INTEGRA,gouv.fr,ORG,FR,93,0,12-09-2016,13-10-2017,
concours.culture.gouv.fr,,,,,,,,,,,,
concours.dgccrf.finances.gouv.fr,,,,,,,,,,,,
conduire-un-deux-roues.gouv.fr,US,99,WILMINGTON,CSC CORPORATE DOMAINS INC.,gouv.fr,ORG,FR,92,0,11-06-2010,,
conference-consensus.justice.gouv.fr,,,,,,,,,,,,
conference-copenhague.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,04-09-2009,,
conference-environnementale.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,33,0,30-08-2012,,
conference-rio2012.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,33,0,17-06-2011,09-08-2015,
conference-sociale.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,08-10-2015,,
conference-territoires.gouv.fr,FR,92,BOULOGNE-BILLANCOURT,INTEGRA,gouv.fr,ORG,FR,75,0,06-11-2017,,
conseil-national-industrie.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,09-09-2013,,
conseilculturel-upm.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,27-11-2009,,
consultation-economie-circulaire.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,11-10-2017,,
consultation-ecophyto2plus.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,16-11-2018,,
consultation-plan-biodiversite.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,14-05-2018,,
consultation.etalab.gouv.fr,,,,,,,,,,,,
consultations-publiques.developpement-durable.gouv.fr,,,,,,,,,,,,
contact.ecologique-solidaire.gouv.fr,,,,,,,,,,,,
contrat-alternance.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,69,0,01-03-2010,,
contrat-de-generation.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,04-01-2013,,
contrat-generation.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,04-01-2013,,
contratgeneration.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,22-02-2013,,
contrats-alternance.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,69,0,01-03-2010,,
contrats-de-generation.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,04-01-2013,,
contrats-generation.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,04-01-2013,,
contreleharcelementalecole.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,07-02-2012,19-11-2018,
contributions-villesterritoires.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,12-04-2018,,
cooperation-internationale.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,75,0,25-11-1999,,
cooperation.gouv.fr,FR,92,CLICHY-LA-GARENNE,OXYD SARL,gouv.fr,ORG,FR,75,0,12-03-1997,,
cop21.gouv.fr,,,,,,,,,,,,
correze.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
corse-du-sud.gouv.fr,,,,,,,,,,,,
corse.direccte.gouv.fr,,,,,,,,,,,,
corse.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,16-04-2012,,
cote-dor.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
cotes-darmor.gouv.fr,,,,,,,,,,,,
courrier.gouv.fr,FR,92,BOULOGNE BILLANCOURT,PROSODIE,gouv.fr,ORG,FR,75,0,01-06-2004,05-08-2016,
covoiturage.beta.gouv.fr,,,,,,,,,,,,
creuse.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
csep.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,28-06-2013,,
csn.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,13-12-2006,,
csti.gouv.fr,FR,75,PARIS,GIP RENATER,gouv.fr,ORG,FR,75,0,23-01-2001,,
cte.gouv.fr,FR,75,PARIS,GIP RENATER,gouv.fr,ORG,FR,75,0,04-06-2007,,
culture-acte2.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,06-09-2012,04-11-2015,
culture.gouv.fr,,,,,,,,,,,,
culturecommunication.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,20-10-2011,,
cvec-ctrl.etudiant.gouv.fr,,,,,,,,,,,,
cvec.etudiant.gouv.fr,,,,,,,,,,,,
cvq.gouv.fr,FR,92,BOULOGNE BILLANCOURT,PROSODIE,gouv.fr,ORG,FR,75,0,29-07-2005,26-05-2014,
cybermalveillance.gouv.fr,,,,,,,,,,,,
cyberveille-sante.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,12-09-2017,,
dares.travail-emploi.gouv.fr,,,,,,,,,,,,
data.agriculture.gouv.fr,,,,,,,,,,,,
data.education.gouv.fr,,,,,,,,,,,,
data.enseignementsup-recherche.gouv.fr,,,,,,,,,,,,
data.gouv.fr,,,,,,,,,,,,
datacollecte.equipements.sports.gouv.fr,,,,,,,,,,,,
datar.gouv.fr,FR,92,BOULOGNE-BILLANCOURT,INTEGRA,gouv.fr,ORG,FR,75,0,17-03-1997,,
datara.gouv.fr,,,,,,,,,,,,
datatourisme.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,26-10-2017,,
dcstep.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,29-09-2011,,
ddm.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,11-02-2002,,
debat-energie.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,75,0,21-11-2002,14-12-2014,
debatenergies.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,75,0,30-05-2003,14-12-2014,
decentralisation.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,17-10-2003,,
declar-successions.journal-officiel.gouv.fr,,,,,,,,,,,,
declaration-environnementale.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,33,0,16-04-2012,,
deel.gouv.fr,DE,99,REGENSBURG,InterNetX GmbH,gouv.fr,ORG,FR,75,0,30-08-2002,,
def.gouv.fr,FR,75,PARIS,Soci�t� Fran�aise du Radiot�l�phone - SFR,gouv.fr,ORG,FR,75,0,11-04-2018,,
defense.gouv.fr,,,,,,,,,,,,
dei.gouv.fr,DE,99,REGENSBURG,InterNetX GmbH,gouv.fr,ORG,FR,75,0,30-08-2002,,
demande-logement-social.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,08-08-2013,,
demandes-gmth.entreprises.gouv.fr,,,,,,,,,,,,
demo.dossiersco.beta.gouv.fr,,,,,,,,,,,,
dependance.gouv.fr,,,,,,,,,,,,
derive-sectaires.gouv.fr,FR,72,SAINT SATURNIN,DIGITAL RURAL INFORMATIQUE,gouv.fr,ORG,FR,75,0,06-01-2012,09-03-2019,
derive-sectes.gouv.fr,FR,72,SAINT SATURNIN,DIGITAL RURAL INFORMATIQUE,gouv.fr,ORG,FR,75,0,06-01-2012,09-03-2019,
derives-sectaires.gouv.fr,FR,72,SAINT SATURNIN,DIGITAL RURAL INFORMATIQUE,gouv.fr,ORG,FR,75,0,06-01-2012,09-03-2019,
derives-sectes.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,06-01-2012,,
designation-prudhommes.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,19-01-2017,,
destinations.diplomatie.gouv.fr,,,,,,,,,,,,
deux-sevres.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
developpement-durable.gouv.fr,,,,,,,,,,,,
developpementdurable.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,28-04-2008,,
devenirenseignant.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,12-01-2016,,
df.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,04-03-2002,,
dgcis.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,06-05-2013,03-07-2015,
dgcl.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,13-12-2018,,
dgcs-alt.social.gouv.fr,,,,,,,,,,,,
dgtresor.gouv.fr,FR,59,ROUBAIX,OVH,gouv.fr,ORG,FR,75,0,06-04-2010,,
diact.gouv.fr,FR,92,BOULOGNE-BILLANCOURT,INTEGRA,gouv.fr,ORG,FR,75,0,28-12-2005,,
diagnostiqueurs.application.developpement-durable.gouv.fr,,,,,,,,,,,,
diagnostiqueurs.din.developpement-durable.gouv.fr,,,,,,,,,,,,
dieccte.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,15-12-2010,,
dif.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,12-06-2002,23-06-2018,
diges.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,16-10-2013,,
dihal.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,06-03-2014,,
dila.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,08-01-2010,,
dimed.gouv.fr,,,,,,,,,,,,
diplomatie.gouv.fr,,,,,,,,,,,,
diplome.gouv.fr,,,,,,,,,,,,
diplomes.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,09-12-2016,,
direccte.gouv.fr,,,,,,,,,,,,
dise.seine-maritime.agriculture.gouv.fr,,,,,,,,,,,,
disic.gouv.fr,,,,,,,,,,,,
dmp.gouv.fr,,,,,,,,,,,,
doc.data.gouv.fr,,,,,,,,,,,,
doc.semc.sports.gouv.fr,,,,,,,,,,,,
documents.installationsclassees.developpement-durable.gouv.fr,,,,,,,,,,,,
domaine-encheres.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,93,0,31-01-2014,,
donnees.bretagne.developpement-durable.gouv.fr,,,,,,,,,,,,
dordogne.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,05-01-2010,,
douane.gouv.fr,,,,,,,,,,,,
douanes.gouv.fr,FR,93,MONTREUIL SOUS BOIS CEDEX,CTS COMPUTERS AND TELECOMMUNICATIONS SYSTEMS MAGIC ON LINE,gouv.fr,ORG,FR,93,0,04-06-2003,,
doubs.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,06-01-2010,,
draaf.auvergne-rhone-alpes.agriculture.gouv.fr,,,,,,,,,,,,
draaf.bretagne.agriculture.gouv.fr,,,,,,,,,,,,
draaf.grand-est.agriculture.gouv.fr,,,,,,,,,,,,
draaf.hauts-de-france.agriculture.gouv.fr,,,,,,,,,,,,
draaf.paca.agriculture.gouv.fr,,,,,,,,,,,,
draaf.pays-de-la-loire.agriculture.gouv.fr,,,,,,,,,,,,
drdjscs.gouv.fr,,,,,,,,,,,,
drees.social-sante.gouv.fr,,,,,,,,,,,,
drees.solidarites-sante.gouv.fr,,,,,,,,,,,,
driaaf.ile-de-france.agriculture.gouv.fr,,,,,,,,,,,,
drire.gouv.fr,FR,75,PARIS,GIP RENATER,gouv.fr,ORG,FR,75,0,27-01-2000,,
drjscs.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,06-01-2010,,
drogue.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,15-01-2002,,
drogues.gouv.fr,,,,,,,,,,,,
droits-femmes.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,02-01-2002,,
droits-usagers.solidarites-sante.gouv.fr,,,,,,,,,,,,
droitsdesjeunes.gouv.fr,FR,75,PARIS,CLARANET SAS,gouv.fr,ORG,FR,78,0,25-02-2000,,
drome.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,06-01-2010,,
dscr.questionnaire.interieur.gouv.fr,,,,,,,,,,,,
e-formation.igpde.finances.gouv.fr,,,,,,,,,,,,
e-learning.ira-bastia.gouv.fr,,,,,,,,,,,,
e-phy.agriculture.gouv.fr,,,,,,,,,,,,
e-scaleport-ext.din.developpement-durable.gouv.fr,,,,,,,,,,,,
ead.etrs.terre.defense.gouv.fr,,,,,,,,,,,,
eapspublic.sports.gouv.fr,,,,,,,,,,,,
eau-france.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,02-03-2009,,
ebalo.journal-officiel.gouv.fr,,,,,,,,,,,,
ecole.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,20-09-2004,,
ecolenumerique.education.gouv.fr,,,,,,,,,,,,
ecologie-solidaire.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,13-06-2017,,
ecologie.gouv.fr,,,,,,,,,,,,
ecologique-solidaire.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,29-05-2017,,
economie-numerique.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,20-11-2009,,
economie-sociale-solidaire.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,25-10-2012,,
economie-solidaire.gouv.fr,FR,92,LA DEFENSE CEDEX,COMPLETEL SAS FRANCE,gouv.fr,ORG,FR,75,0,01-08-2000,05-01-2018,
economie.gouv.fr,,,,,,,,,,,,
ecophyto-2018.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,14-09-2009,20-02-2017,
ecoquartier2011.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,33,0,13-01-2011,,
educ.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,10-02-2014,19-11-2018,
education.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,31-01-1997,,
educonnect.education.gouv.fr,,,,,,,,,,,,
effet-de-serre.gouv.fr,DE,99,REGENSBURG,InterNetX GmbH,gouv.fr,ORG,FR,75,0,16-06-2000,,
eform.defense.gouv.fr,,,,,,,,,,,,
eg-alimentation.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,13-07-2017,,
egalimentation.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,13-07-2017,,
egalite-citoyennete-participez.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,17-03-2016,,
egalite-femmes-hommes.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,19-05-2017,,
egalite-handicap.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,02-02-2018,,
egalitedeschances.gouv.fr,FR,72,SAINT SATURNIN,DIGITAL RURAL INFORMATIQUE,gouv.fr,ORG,FR,75,0,27-02-2006,,
egc.cop21.gouv.fr,,,,,,,,,,,,
egide.finances.gouv.fr,,,,,,,,,,,,
elections.interieur.gouv.fr,,,,,,,,,,,,
electiontpe.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,07-09-2016,,
embauche-pme.gouv.fr,FR,72,SAINT SATURNIN,DIGITAL RURAL INFORMATIQUE,gouv.fr,ORG,FR,75,0,17-02-2016,,
embauche.beta.gouv.fr,,,,,,,,,,,,
embauchepme.gouv.fr,FR,72,SAINT SATURNIN,DIGITAL RURAL INFORMATIQUE,gouv.fr,ORG,FR,75,0,17-02-2016,,
emjpm.beta.gouv.fr,,,,,,,,,,,,
emjpm.num.social.gouv.fr,,,,,,,,,,,,
emploi-tourisme.gouv.fr,DE,99,REGENSBURG,InterNetX GmbH,gouv.fr,ORG,FR,75,0,29-05-2006,,
emploi.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,03-02-2009,,
emploidesseniors.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,19-10-2006,,
emploisjeunes.gouv.fr,FR,92,BOULOGNE BILLANCOURT,PROSODIE,gouv.fr,ORG,FR,75,0,05-02-2002,18-12-2014,
en.europe-en-france.gouv.fr,,,,,,,,,,,,
enc-ahi.social.gouv.fr,,,,,,,,,,,,
encadrementdesloyers.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,21-07-2016,,
encasdattaque.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,21-01-2016,,
encheres-domaine.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,93,0,31-01-2014,,
encheres-domaniales.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,93,0,31-01-2014,,
engagement-civique.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,28-02-2017,,
enim.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,75,0,07-04-2006,,
enquete.nouvelle-caledonie.gouv.fr,,,,,,,,,,,,
enqueteur.cete-mediterranee.developpement-durable.gouv.fr,,,,,,,,,,,,
enqueteur.cgdd.developpement-durable.gouv.fr,,,,,,,,,,,,
enqueteur.dgac.developpement-durable.gouv.fr,,,,,,,,,,,,
enqueteur.dgaln.developpement-durable.gouv.fr,,,,,,,,,,,,
enqueteur.dgitm.developpement-durable.gouv.fr,,,,,,,,,,,,
enqueteur.dreal-occitanie.developpement-durable.gouv.fr,,,,,,,,,,,,
enqueteur.fnasce.developpement-durable.gouv.fr,,,,,,,,,,,,
enqueteur.franche-comte.developpement-durable.gouv.fr,,,,,,,,,,,,
enqueteur.paca.developpement-durable.gouv.fr,,,,,,,,,,,,
ensagri.agriculture.gouv.fr,,,,,,,,,,,,
ensap.gouv.fr,,,,,,,,,,,,
enseignement-agricole.agriculture.gouv.fr,,,,,,,,,,,,
enseignement-professionnel.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,17-11-2000,,
enseignementsup-recherche.gouv.fr,,,,,,,,,,,,
enseignementsup.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,21-06-2012,,
ent.etrs.terre.defense.gouv.fr,,,,,,,,,,,,
entrepreneur-interet-general.etalab.gouv.fr,,,,,,,,,,,,
entreprises.gouv.fr,,,,,,,,,,,,
environnement.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,02-03-2009,,
envsn.sports.gouv.fr,,,,,,,,,,,,
ephoto.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,30-05-2018,,
equipement-agriculture.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,12-12-2006,,
equipement.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,22-01-1997,,
esante.gouv.fr,,,,,,,,,,,,
esat.sante.gouv.fr,,,,,,,,,,,,
espace.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,16-07-1999,,
esr.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,06-10-2014,,
essonne.gouv.fr,,,,,,,,,,,,
esynergie.europe-en-france.gouv.fr,,,,,,,,,,,,
etalab.gouv.fr,,,,,,,,,,,,
etat-civil.gouv.fr,FR,92,BOULOGNE BILLANCOURT,PROSODIE,gouv.fr,ORG,FR,75,0,29-07-2005,17-07-2016,
etatplateforme.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,24-10-2014,,
etatplateforme.modernisation.gouv.fr,,,,,,,,,,,,
etudiant-entrepreneur.beta.gouv.fr,,,,,,,,,,,,
etudiant.gouv.fr,,,,,,,,,,,,
etudiante.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,07-04-2006,19-11-2018,
etudiantes.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,07-04-2006,19-11-2018,
etudiants.gouv.fr,FR,59,VILLENEUVE D'ASCQ,AVENIR TELEMATIQUE,gouv.fr,ORG,FR,75,0,07-04-2006,,
eure-et-loir.gouv.fr,FR,13,MARSEILLE CEDEX 03,SAFEBRANDS,gouv.fr,ORG,FR,75,0,06-01-2010,,
eure.gouv.fr,,,,,,,,,,,,
euro.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,28-12-2000,,
europe-en-france.gouv.fr,,,,,,,,,,,,
europe.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,06-12-2002,,
evaluation.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,03-10-2002,,
expatries.diplomatie.gouv.fr,,,,,,,,,,,,
explorateur.ecocites.logement.gouv.fr,,,,,,,,,,,,
expo-universelle.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,17-01-2003,,
exporter.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,23-01-2006,,
extranet.asce-centrale.developpement-durable.gouv.fr,,,,,,,,,,,,
extranet.cgdd.developpement-durable.gouv.fr,,,,,,,,,,,,
extranet.collaboratif.auvergne.developpement-durable.gouv.fr,,,,,,,,,,,,
extranet.collaboratif.loire-atlantique.equipement-agriculture.gouv.fr,,,,,,,,,,,,
extranet.dreal.limousin.din.developpement-durable.gouv.fr,,,,,,,,,,,,
extranet.europe-en-france.gouv.fr,,,,,,,,,,,,
extranet.fil-info.developpement-durable.gouv.fr,,,,,,,,,,,,
extranet.metier.dgitm.din.developpement-durable.gouv.fr,,,,,,,,,,,,
extranet.sgae.gouv.fr,,,,,,,,,,,,
extranet.srce.auvergne.developpement-durable.gouv.fr,,,,,,,,,,,,
extranet.unsa-upcasse.developpement-durable.gouv.fr,,,,,,,,,,,,
extranet.unsa-upcasse.equipement.gouv.fr,,,,,,,,,,,,
facilhabitat.gouv.fr,FR,38,GRENOBLE,BUSINESS & DECISION INTERACTIVE EOLAS,gouv.fr,ORG,FR,75,0,16-04-2019,,
faire-simple.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,18-09-2013,,
famille-enfance-droitsdesfemmes.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,26-02-2016,,
famille-enfance.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,22-06-2000,,
famille.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,18-09-2002,,
familles-enfance-droitsdesfemmes.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,04-03-2016,,
faq.casier-judiciaire.justice.gouv.fr,,,,,,,,,,,,
faq.cjn.justice.gouv.fr,,,,,,,,,,,,
faq.gendarmerie.interieur.gouv.fr,,,,,,,,,,,,
faq.legifrance.gouv.fr,,,,,,,,,,,,
feddf.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,26-02-2016,,
fei.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,18-08-2011,16-10-2015,
femmes-egalite.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,17-02-2005,,
femmes.gouv.fr,,,,,,,,,,,,
femmesegalite.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,26-01-2005,,
fetedelamusique.culture.gouv.fr,,,,,,,,,,,,
fetedelamusique.culturecommunication.gouv.fr,,,,,,,,,,,,
files.data.gouv.fr,,,,,,,,,,,,
finances.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,06-08-1996,,
finess.sante.gouv.fr,,,,,,,,,,,,
finistere.gouv.fr,,,,,,,,,,,,
firs.gouv.fr,DE,99,REGENSBURG,InterNetX GmbH,gouv.fr,ORG,FR,75,0,06-07-1999,,
fisc.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,93,0,29-11-2001,,
fiscal.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,93,0,29-11-2001,,
fiscalite.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,93,0,29-11-2001,,
fonction-publique.gouv.fr,FR,75,PARIS,ORDIPAT,gouv.fr,ORG,FR,75,0,29-01-1997,,
fonds-cmu.gouv.fr,FR,75,PARIS 15,ORANGE,gouv.fr,ORG,FR,75,0,12-09-2000,,
fondsdesoutien.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,03-11-2014,,
forages-domestiques.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,11-05-2009,,
formation.gouv.fr,FR,49,ANGERS,NAMESHIELD,gouv.fr,ORG,FR,75,0,12-01-2011,,
formation.sinus.novi.interieur.gouv.fr,,,,,,,,,,,,
formationgestiondecrise.gouv.fr,FR,75,PARIS,GANDI,gouv.fr,ORG,FR,75,0,27-02-2019,,
formco.agriculture.gouv.fr,,,,,,,,,,,,
formconnexion.douane.gouv.fr,,,,,,,,,,,,
foromes.extranet.sports.gouv.fr,,,,,,,,,,,,
